subscription_id,customer_id,start_date,end_date,subscription_type,price,media
35,7,2018-06-18,2018-07-18,MONTHLY,50,FACEBOOK_ADS
36,7,2018-07-18,2018-08-18,MONTHLY,50,FACEBOOK_ADS
37,7,2018-08-18,2018-09-18,MONTHLY,50,FACEBOOK_ADS
38,7,2018-09-18,2018-10-18,MONTHLY,50,FACEBOOK_ADS
39,7,2018-10-18,2018-11-18,MONTHLY,50,FACEBOOK_ADS
40,8,2018-01-18,2018-02-18,MONTHLY,50,GOOGLE_AD_WORDS
41,9,2018-01-02,2018-02-02,MONTHLY,50,NONE
42,9,2018-02-02,2018-03-02,MONTHLY,50,NONE
43,9,2018-03-02,2018-04-02,MONTHLY,50,NONE
44,9,2018-04-02,2018-05-02,MONTHLY,50,NONE
45,9,2018-05-02,2018-06-02,MONTHLY,50,NONE
46,9,2018-06-02,2018-07-02,MONTHLY,50,NONE
47,9,2018-07-02,2018-08-02,MONTHLY,50,NONE
48,9,2018-08-02,2018-09-02,MONTHLY,50,NONE
49,10,2018-01-26,2019-01-26,YEARLY,400,NONE
50,11,2018-01-14,2018-02-14,MONTHLY,50,FACEBOOK_ADS
51,11,2018-02-14,2018-03-14,MONTHLY,50,FACEBOOK_ADS
52,12,2018-01-10,2018-02-10,MONTHLY,50,NONE
53,13,2018-01-29,2019-01-29,YEARLY,400,NONE
54,14,2018-01-14,2018-02-14,MONTHLY,50,NONE
55,15,2018-01-23,2018-02-23,MONTHLY,50,NONE
56,15,2018-02-23,2018-03-23,MONTHLY,50,NONE
57,15,2018-03-23,2018-04-23,MONTHLY,50,NONE
58,15,2018-04-23,2018-05-23,MONTHLY,50,NONE
59,16,2018-01-07,2019-01-07,YEARLY,400,NONE
60,16,2019-01-07,2019-02-07,MONTHLY,50,NONE
61,16,2019-02-07,2019-03-07,MONTHLY,50,NONE
62,16,2019-03-07,2019-04-07,MONTHLY,50,NONE
63,16,2019-04-07,2019-05-07,MONTHLY,50,NONE
64,16,2019-05-07,2019-06-07,MONTHLY,50,NONE
65,16,2019-06-07,2019-07-07,MONTHLY,50,NONE
66,16,2019-07-07,2019-08-07,MONTHLY,50,NONE
67,16,2019-08-07,2019-09-07,MONTHLY,50,NONE
68,16,2019-09-07,2019-10-07,MONTHLY,50,NONE
69,17,2018-01-06,2018-02-06,MONTHLY,50,FACEBOOK_ADS
70,17,2018-02-06,2018-03-06,MONTHLY,50,FACEBOOK_ADS
71,17,2018-03-06,2018-04-06,MONTHLY,50,FACEBOOK_ADS
72,17,2018-04-06,2018-05-06,MONTHLY,50,FACEBOOK_ADS
73,17,2018-05-06,2018-06-06,MONTHLY,50,FACEBOOK_ADS
74,17,2018-06-06,2018-07-06,MONTHLY,50,FACEBOOK_ADS
75,17,2018-07-06,2018-08-06,MONTHLY,50,FACEBOOK_ADS
76,17,2018-08-06,2018-09-06,MONTHLY,50,FACEBOOK_ADS
77,17,2018-09-06,2018-10-06,MONTHLY,50,FACEBOOK_ADS
78,17,2018-10-06,2018-11-06,MONTHLY,50,FACEBOOK_ADS
79,17,2018-11-06,2018-12-06,MONTHLY,50,FACEBOOK_ADS
80,18,2018-01-09,2018-02-09,MONTHLY,50,FACEBOOK_ADS
81,18,2018-02-09,2018-03-09,MONTHLY,50,FACEBOOK_ADS
82,18,2018-03-09,2018-04-09,MONTHLY,50,FACEBOOK_ADS
83,18,2018-04-09,2018-05-09,MONTHLY,50,FACEBOOK_ADS
84,18,2018-05-09,2018-06-09,MONTHLY,50,FACEBOOK_ADS
85,19,2018-01-21,2018-02-21,MONTHLY,50,NONE
86,19,2018-02-21,2018-03-21,MONTHLY,50,NONE
87,19,2018-03-21,2018-04-21,MONTHLY,50,NONE
88,19,2018-04-21,2018-05-21,MONTHLY,50,NONE
89,19,2018-05-21,2018-06-21,MONTHLY,50,NONE
90,19,2018-06-21,2018-07-21,MONTHLY,50,NONE
91,19,2018-07-21,2018-08-21,MONTHLY,50,NONE
92,19,2018-08-21,2018-09-21,MONTHLY,50,NONE
93,19,2018-09-21,2018-10-21,MONTHLY,50,NONE
94,19,2018-10-21,2018-11-21,MONTHLY,50,NONE
95,19,2018-11-21,2018-12-21,MONTHLY,50,NONE
96,20,2018-01-09,2018-02-09,MONTHLY,50,GOOGLE_AD_WORDS
97,20,2018-02-09,2018-03-09,MONTHLY,50,GOOGLE_AD_WORDS
98,20,2018-03-09,2018-04-09,MONTHLY,50,GOOGLE_AD_WORDS
99,20,2018-04-09,2018-05-09,MONTHLY,50,GOOGLE_AD_WORDS
100,21,2018-01-07,2018-02-07,MONTHLY,50,NONE
101,21,2018-02-07,2018-03-07,MONTHLY,50,NONE
102,22,2018-01-18,2018-02-18,MONTHLY,50,NONE
103,22,2018-02-18,2018-03-18,MONTHLY,50,NONE
104,22,2018-03-18,2018-04-18,MONTHLY,50,NONE
105,22,2018-04-18,2018-05-18,MONTHLY,50,NONE
106,22,2018-05-18,2018-06-18,MONTHLY,50,NONE
107,22,2018-06-18,2018-07-18,MONTHLY,50,NONE
108,22,2018-07-18,2018-08-18,MONTHLY,50,NONE
109,22,2018-08-18,2018-09-18,MONTHLY,50,NONE
110,22,2018-09-18,2019-09-18,YEARLY,400,NONE
111,22,2019-09-18,2019-10-18,MONTHLY,50,NONE
112,22,2019-10-18,2019-11-18,MONTHLY,50,NONE
113,22,2019-11-18,2019-12-18,MONTHLY,50,NONE
114,23,2018-01-26,2019-01-26,YEARLY,400,GOOGLE_AD_WORDS
115,24,2018-01-13,2019-01-13,YEARLY,400,GOOGLE_AD_WORDS
116,25,2018-01-31,2018-02-28,MONTHLY,50,NONE
117,25,2018-02-28,2018-03-28,MONTHLY,50,NONE
118,25,2018-03-28,2018-04-28,MONTHLY,50,NONE
119,25,2018-04-28,2018-05-28,MONTHLY,50,NONE
120,25,2018-05-28,2018-06-28,MONTHLY,50,NONE
121,25,2018-06-28,2018-07-28,MONTHLY,50,NONE
122,26,2018-01-14,2018-02-14,MONTHLY,50,NONE
123,26,2018-02-14,2018-03-14,MONTHLY,50,NONE
124,26,2018-03-14,2018-04-14,MONTHLY,50,NONE
125,26,2018-04-14,2018-05-14,MONTHLY,50,NONE
126,26,2018-05-14,2018-06-14,MONTHLY,50,NONE
127,26,2018-06-14,2018-07-14,MONTHLY,50,NONE
128,26,2018-07-14,2018-08-14,MONTHLY,50,NONE
129,26,2018-08-14,2018-09-14,MONTHLY,50,NONE
130,26,2018-09-14,2018-10-14,MONTHLY,50,NONE
131,26,2018-10-14,2018-11-14,MONTHLY,50,NONE
132,26,2018-11-14,2018-12-14,MONTHLY,50,NONE
133,26,2018-12-14,2019-01-14,MONTHLY,50,NONE
134,26,2019-01-14,2019-02-14,MONTHLY,50,NONE
135,26,2019-02-14,2019-03-14,MONTHLY,50,NONE
136,26,2019-03-14,2019-04-14,MONTHLY,50,NONE
137,26,2019-04-14,2019-05-14,MONTHLY,50,NONE
138,26,2019-05-14,2019-06-14,MONTHLY,50,NONE
139,26,2019-06-14,2019-07-14,MONTHLY,50,NONE
140,26,2019-07-14,2019-08-14,MONTHLY,50,NONE
141,27,2018-01-08,2019-01-08,YEARLY,400,NONE
142,28,2018-01-07,2018-02-07,MONTHLY,50,NONE
143,28,2018-02-07,2018-03-07,MONTHLY,50,NONE
144,28,2018-03-07,2018-04-07,MONTHLY,50,NONE
145,28,2018-04-07,2018-05-07,MONTHLY,50,NONE
146,28,2018-05-07,2018-06-07,MONTHLY,50,NONE
147,29,2018-01-02,2018-02-02,MONTHLY,50,FACEBOOK_ADS
148,29,2018-02-02,2018-03-02,MONTHLY,50,FACEBOOK_ADS
149,29,2018-03-02,2018-04-02,MONTHLY,50,FACEBOOK_ADS
150,29,2018-04-02,2018-05-02,MONTHLY,50,FACEBOOK_ADS
151,29,2018-05-02,2018-06-02,MONTHLY,50,FACEBOOK_ADS
152,29,2018-06-02,2018-07-02,MONTHLY,50,FACEBOOK_ADS
153,29,2018-07-02,2018-08-02,MONTHLY,50,FACEBOOK_ADS
154,29,2018-08-02,2018-09-02,MONTHLY,50,FACEBOOK_ADS
155,29,2018-09-02,2018-10-02,MONTHLY,50,FACEBOOK_ADS
156,29,2018-10-02,2018-11-02,MONTHLY,50,FACEBOOK_ADS
157,30,2018-01-06,2019-01-06,YEARLY,400,NONE
158,31,2018-01-30,2018-02-28,MONTHLY,50,NONE
159,31,2018-02-28,2018-03-28,MONTHLY,50,NONE
160,31,2018-03-28,2018-04-28,MONTHLY,50,NONE
161,31,2018-04-28,2018-05-28,MONTHLY,50,NONE
162,31,2018-05-28,2018-06-28,MONTHLY,50,NONE
163,31,2018-06-28,2018-07-28,MONTHLY,50,NONE
164,31,2018-07-28,2018-08-28,MONTHLY,50,NONE
165,31,2018-08-28,2018-09-28,MONTHLY,50,NONE
166,31,2018-09-28,2018-10-28,MONTHLY,50,NONE
167,31,2018-10-28,2018-11-28,MONTHLY,50,NONE
168,31,2018-11-28,2018-12-28,MONTHLY,50,NONE
169,31,2018-12-28,2019-01-28,MONTHLY,50,NONE
170,31,2019-01-28,2019-02-28,MONTHLY,50,NONE
171,31,2019-02-28,2019-03-28,MONTHLY,50,NONE
172,31,2019-03-28,2019-04-28,MONTHLY,50,NONE
173,31,2019-04-28,2019-05-28,MONTHLY,50,NONE
174,31,2019-05-28,2019-06-28,MONTHLY,50,NONE
175,31,2019-06-28,2019-07-28,MONTHLY,50,NONE
176,31,2019-07-28,2019-08-28,MONTHLY,50,NONE
177,31,2019-08-28,2019-09-28,MONTHLY,50,NONE
178,31,2019-09-28,2019-10-28,MONTHLY,50,NONE
179,31,2019-10-28,2019-11-28,MONTHLY,50,NONE
180,31,2019-11-28,2019-12-28,MONTHLY,50,NONE
181,31,2019-12-28,2020-01-28,MONTHLY,50,NONE
182,32,2018-01-07,2019-01-07,YEARLY,400,NONE
183,33,2018-01-08,2018-02-08,MONTHLY,50,GOOGLE_AD_WORDS
184,34,2018-01-28,2018-02-28,MONTHLY,50,NONE
185,35,2018-01-06,2018-02-06,MONTHLY,50,NONE
186,36,2018-01-02,2018-02-02,MONTHLY,50,NONE
187,37,2018-01-17,2018-02-17,MONTHLY,50,NONE
188,38,2018-01-30,2018-02-28,MONTHLY,50,GOOGLE_AD_WORDS
189,39,2018-01-30,2018-02-28,MONTHLY,50,GOOGLE_AD_WORDS
190,40,2018-01-12,2018-02-12,MONTHLY,50,NONE
191,40,2018-02-12,2018-03-12,MONTHLY,50,NONE
192,40,2018-03-12,2018-04-12,MONTHLY,50,NONE
193,40,2018-04-12,2018-05-12,MONTHLY,50,NONE
194,40,2018-05-12,2018-06-12,MONTHLY,50,NONE
195,41,2018-01-21,2018-02-21,MONTHLY,50,GOOGLE_AD_WORDS
196,41,2018-02-21,2018-03-21,MONTHLY,50,GOOGLE_AD_WORDS
197,42,2018-01-26,2018-02-26,MONTHLY,50,NONE
198,43,2018-01-24,2018-02-24,MONTHLY,50,GOOGLE_AD_WORDS
199,44,2018-01-13,2018-02-13,MONTHLY,50,GOOGLE_AD_WORDS
200,45,2018-01-04,2018-02-04,MONTHLY,50,FACEBOOK_ADS
201,45,2018-02-04,2018-03-04,MONTHLY,50,FACEBOOK_ADS
202,45,2018-03-04,2018-04-04,MONTHLY,50,FACEBOOK_ADS
203,45,2018-04-04,2018-05-04,MONTHLY,50,FACEBOOK_ADS
204,45,2018-05-04,2018-06-04,MONTHLY,50,FACEBOOK_ADS
205,45,2018-06-04,2018-07-04,MONTHLY,50,FACEBOOK_ADS
206,45,2018-07-04,2018-08-04,MONTHLY,50,FACEBOOK_ADS
207,45,2018-08-04,2018-09-04,MONTHLY,50,FACEBOOK_ADS
208,46,2018-01-05,2018-02-05,MONTHLY,50,GOOGLE_AD_WORDS
209,46,2018-02-05,2018-03-05,MONTHLY,50,GOOGLE_AD_WORDS
210,46,2018-03-05,2018-04-05,MONTHLY,50,GOOGLE_AD_WORDS
211,46,2018-04-05,2018-05-05,MONTHLY,50,GOOGLE_AD_WORDS
212,46,2018-05-05,2018-06-05,MONTHLY,50,GOOGLE_AD_WORDS
213,46,2018-06-05,2018-07-05,MONTHLY,50,GOOGLE_AD_WORDS
214,46,2018-07-05,2018-08-05,MONTHLY,50,GOOGLE_AD_WORDS
215,46,2018-08-05,2018-09-05,MONTHLY,50,GOOGLE_AD_WORDS
216,46,2018-09-05,2018-10-05,MONTHLY,50,GOOGLE_AD_WORDS
217,46,2018-10-05,2018-11-05,MONTHLY,50,GOOGLE_AD_WORDS
218,46,2018-11-05,2018-12-05,MONTHLY,50,GOOGLE_AD_WORDS
219,46,2018-12-05,2019-01-05,MONTHLY,50,GOOGLE_AD_WORDS
220,46,2019-01-05,2019-02-05,MONTHLY,50,GOOGLE_AD_WORDS
221,46,2019-02-05,2019-03-05,MONTHLY,50,GOOGLE_AD_WORDS
222,47,2018-01-27,2018-02-27,MONTHLY,50,FACEBOOK_ADS
223,47,2018-02-27,2018-03-27,MONTHLY,50,FACEBOOK_ADS
224,47,2018-03-27,2018-04-27,MONTHLY,50,FACEBOOK_ADS
225,47,2018-04-27,2018-05-27,MONTHLY,50,FACEBOOK_ADS
226,47,2018-05-27,2018-06-27,MONTHLY,50,FACEBOOK_ADS
227,47,2018-06-27,2018-07-27,MONTHLY,50,FACEBOOK_ADS
228,47,2018-07-27,2019-07-27,YEARLY,400,FACEBOOK_ADS
229,47,2019-07-27,2019-08-27,MONTHLY,50,FACEBOOK_ADS
230,47,2019-08-27,2019-09-27,MONTHLY,50,FACEBOOK_ADS
231,47,2019-09-27,2019-10-27,MONTHLY,50,FACEBOOK_ADS
232,47,2019-10-27,2019-11-27,MONTHLY,50,FACEBOOK_ADS
233,47,2019-11-27,2019-12-27,MONTHLY,50,FACEBOOK_ADS
234,47,2019-12-27,2020-01-27,MONTHLY,50,FACEBOOK_ADS
235,48,2018-01-07,2018-02-07,MONTHLY,50,FACEBOOK_ADS
236,48,2018-02-07,2018-03-07,MONTHLY,50,FACEBOOK_ADS
237,48,2018-03-07,2018-04-07,MONTHLY,50,FACEBOOK_ADS
238,48,2018-04-07,2018-05-07,MONTHLY,50,FACEBOOK_ADS
239,48,2018-05-07,2018-06-07,MONTHLY,50,FACEBOOK_ADS
240,48,2018-06-07,2018-07-07,MONTHLY,50,FACEBOOK_ADS
241,48,2018-07-07,2018-08-07,MONTHLY,50,FACEBOOK_ADS
242,48,2018-08-07,2018-09-07,MONTHLY,50,FACEBOOK_ADS
243,48,2018-09-07,2018-10-07,MONTHLY,50,FACEBOOK_ADS
244,48,2018-10-07,2018-11-07,MONTHLY,50,FACEBOOK_ADS
245,48,2018-11-07,2018-12-07,MONTHLY,50,FACEBOOK_ADS
246,48,2018-12-07,2019-01-07,MONTHLY,50,FACEBOOK_ADS
247,48,2019-01-07,2019-02-07,MONTHLY,50,FACEBOOK_ADS
248,48,2019-02-07,2019-03-07,MONTHLY,50,FACEBOOK_ADS
249,48,2019-03-07,2019-04-07,MONTHLY,50,FACEBOOK_ADS
250,48,2019-04-07,2019-05-07,MONTHLY,50,FACEBOOK_ADS
251,48,2019-05-07,2019-06-07,MONTHLY,50,FACEBOOK_ADS
252,49,2018-01-15,2018-02-15,MONTHLY,50,GOOGLE_AD_WORDS
253,50,2018-01-31,2019-01-31,YEARLY,400,FACEBOOK_ADS
254,51,2018-01-05,2019-01-05,YEARLY,400,FACEBOOK_ADS
255,52,2018-01-22,2018-02-22,MONTHLY,50,NONE
256,52,2018-02-22,2018-03-22,MONTHLY,50,NONE
257,52,2018-03-22,2018-04-22,MONTHLY,50,NONE
258,52,2018-04-22,2018-05-22,MONTHLY,50,NONE
259,52,2018-05-22,2018-06-22,MONTHLY,50,NONE
260,52,2018-06-22,2018-07-22,MONTHLY,50,NONE
261,52,2018-07-22,2018-08-22,MONTHLY,50,NONE
262,52,2018-08-22,2018-09-22,MONTHLY,50,NONE
263,52,2018-09-22,2018-10-22,MONTHLY,50,NONE
264,52,2018-10-22,2018-11-22,MONTHLY,50,NONE
265,52,2018-11-22,2018-12-22,MONTHLY,50,NONE
266,52,2018-12-22,2019-01-22,MONTHLY,50,NONE
267,52,2019-01-22,2019-02-22,MONTHLY,50,NONE
268,52,2019-02-22,2019-03-22,MONTHLY,50,NONE
269,53,2018-01-27,2018-02-27,MONTHLY,50,NONE
270,53,2018-02-27,2018-03-27,MONTHLY,50,NONE
271,54,2018-01-06,2019-01-06,YEARLY,400,GOOGLE_AD_WORDS
272,55,2018-01-20,2018-02-20,MONTHLY,50,NONE
273,55,2018-02-20,2018-03-20,MONTHLY,50,NONE
274,56,2018-01-13,2018-02-13,MONTHLY,50,NONE
275,56,2018-02-13,2018-03-13,MONTHLY,50,NONE
276,56,2018-03-13,2018-04-13,MONTHLY,50,NONE
277,56,2018-04-13,2018-05-13,MONTHLY,50,NONE
278,56,2018-05-13,2018-06-13,MONTHLY,50,NONE
279,56,2018-06-13,2018-07-13,MONTHLY,50,NONE
280,56,2018-07-13,2018-08-13,MONTHLY,50,NONE
281,56,2018-08-13,2018-09-13,MONTHLY,50,NONE
282,56,2018-09-13,2018-10-13,MONTHLY,50,NONE
283,56,2018-10-13,2018-11-13,MONTHLY,50,NONE
284,56,2018-11-13,2018-12-13,MONTHLY,50,NONE
285,56,2018-12-13,2019-01-13,MONTHLY,50,NONE
286,56,2019-01-13,2019-02-13,MONTHLY,50,NONE
287,56,2019-02-13,2019-03-13,MONTHLY,50,NONE
288,56,2019-03-13,2019-04-13,MONTHLY,50,NONE
289,56,2019-04-13,2019-05-13,MONTHLY,50,NONE
290,56,2019-05-13,2019-06-13,MONTHLY,50,NONE
291,56,2019-06-13,2019-07-13,MONTHLY,50,NONE
292,56,2019-07-13,2019-08-13,MONTHLY,50,NONE
293,56,2019-08-13,2019-09-13,MONTHLY,50,NONE
294,57,2018-01-14,2018-02-14,MONTHLY,50,FACEBOOK_ADS
295,58,2018-01-05,2018-02-05,MONTHLY,50,GOOGLE_AD_WORDS
296,58,2018-02-05,2018-03-05,MONTHLY,50,GOOGLE_AD_WORDS
297,58,2018-03-05,2018-04-05,MONTHLY,50,GOOGLE_AD_WORDS
298,58,2018-04-05,2018-05-05,MONTHLY,50,GOOGLE_AD_WORDS
299,58,2018-05-05,2018-06-05,MONTHLY,50,GOOGLE_AD_WORDS
300,59,2018-01-28,2018-02-28,MONTHLY,50,GOOGLE_AD_WORDS
301,59,2018-02-28,2018-03-28,MONTHLY,50,GOOGLE_AD_WORDS
302,59,2018-03-28,2018-04-28,MONTHLY,50,GOOGLE_AD_WORDS
303,59,2018-04-28,2018-05-28,MONTHLY,50,GOOGLE_AD_WORDS
304,59,2018-05-28,2018-06-28,MONTHLY,50,GOOGLE_AD_WORDS
305,59,2018-06-28,2018-07-28,MONTHLY,50,GOOGLE_AD_WORDS
306,60,2018-01-15,2018-02-15,MONTHLY,50,GOOGLE_AD_WORDS
307,60,2018-02-15,2018-03-15,MONTHLY,50,GOOGLE_AD_WORDS
308,60,2018-03-15,2018-04-15,MONTHLY,50,GOOGLE_AD_WORDS
309,60,2018-04-15,2018-05-15,MONTHLY,50,GOOGLE_AD_WORDS
310,60,2018-05-15,2018-06-15,MONTHLY,50,GOOGLE_AD_WORDS
311,60,2018-06-15,2018-07-15,MONTHLY,50,GOOGLE_AD_WORDS
312,60,2018-07-15,2018-08-15,MONTHLY,50,GOOGLE_AD_WORDS
313,60,2018-08-15,2018-09-15,MONTHLY,50,GOOGLE_AD_WORDS
314,60,2018-09-15,2018-10-15,MONTHLY,50,GOOGLE_AD_WORDS
315,60,2018-10-15,2018-11-15,MONTHLY,50,GOOGLE_AD_WORDS
316,60,2018-11-15,2018-12-15,MONTHLY,50,GOOGLE_AD_WORDS
317,60,2018-12-15,2019-01-15,MONTHLY,50,GOOGLE_AD_WORDS
318,60,2019-01-15,2019-02-15,MONTHLY,50,GOOGLE_AD_WORDS
319,60,2019-02-15,2019-03-15,MONTHLY,50,GOOGLE_AD_WORDS
320,61,2018-01-10,2018-02-10,MONTHLY,50,FACEBOOK_ADS
321,62,2018-02-01,2018-03-01,MONTHLY,50,NONE
322,63,2018-01-10,2018-02-10,MONTHLY,50,NONE
323,64,2018-01-15,2018-02-15,MONTHLY,50,NONE
324,64,2018-02-15,2018-03-15,MONTHLY,50,NONE
325,64,2018-03-15,2018-04-15,MONTHLY,50,NONE
326,65,2018-01-06,2018-02-06,MONTHLY,50,FACEBOOK_ADS
327,66,2018-02-01,2018-03-01,MONTHLY,50,FACEBOOK_ADS
328,67,2018-01-20,2018-02-20,MONTHLY,50,NONE
329,68,2018-02-01,2018-03-01,MONTHLY,50,NONE
330,69,2018-01-15,2018-02-15,MONTHLY,50,NONE
331,69,2018-02-15,2018-03-15,MONTHLY,50,NONE
332,70,2018-01-17,2018-02-17,MONTHLY,50,NONE
333,70,2018-02-17,2018-03-17,MONTHLY,50,NONE
334,70,2018-03-17,2018-04-17,MONTHLY,50,NONE
335,70,2018-04-17,2018-05-17,MONTHLY,50,NONE
336,70,2018-05-17,2018-06-17,MONTHLY,50,NONE
337,70,2018-06-17,2018-07-17,MONTHLY,50,NONE
338,70,2018-07-17,2018-08-17,MONTHLY,50,NONE
339,70,2018-08-17,2018-09-17,MONTHLY,50,NONE
340,70,2018-09-17,2018-10-17,MONTHLY,50,NONE
341,71,2018-02-01,2018-03-01,MONTHLY,50,NONE
342,71,2018-03-01,2018-04-01,MONTHLY,50,NONE
343,71,2018-04-01,2019-04-01,YEARLY,400,NONE
344,72,2018-01-24,2018-02-24,MONTHLY,50,NONE
345,72,2018-02-24,2018-03-24,MONTHLY,50,NONE
346,72,2018-03-24,2018-04-24,MONTHLY,50,NONE
347,72,2018-04-24,2018-05-24,MONTHLY,50,NONE
348,72,2018-05-24,2018-06-24,MONTHLY,50,NONE
349,72,2018-06-24,2018-07-24,MONTHLY,50,NONE
350,72,2018-07-24,2018-08-24,MONTHLY,50,NONE
351,72,2018-08-24,2018-09-24,MONTHLY,50,NONE
352,72,2018-09-24,2018-10-24,MONTHLY,50,NONE
353,72,2018-10-24,2018-11-24,MONTHLY,50,NONE
354,72,2018-11-24,2018-12-24,MONTHLY,50,NONE
355,72,2018-12-24,2019-01-24,MONTHLY,50,NONE
356,72,2019-01-24,2019-02-24,MONTHLY,50,NONE
357,72,2019-02-24,2019-03-24,MONTHLY,50,NONE
358,72,2019-03-24,2019-04-24,MONTHLY,50,NONE
359,72,2019-04-24,2019-05-24,MONTHLY,50,NONE
360,72,2019-05-24,2019-06-24,MONTHLY,50,NONE
361,72,2019-06-24,2019-07-24,MONTHLY,50,NONE
362,72,2019-07-24,2019-08-24,MONTHLY,50,NONE
363,72,2019-08-24,2019-09-24,MONTHLY,50,NONE
364,72,2019-09-24,2019-10-24,MONTHLY,50,NONE
365,73,2018-01-31,2018-02-28,MONTHLY,50,NONE
366,73,2018-02-28,2018-03-28,MONTHLY,50,NONE
367,73,2018-03-28,2018-04-28,MONTHLY,50,NONE
368,74,2018-01-28,2018-02-28,MONTHLY,50,NONE
369,75,2018-01-17,2019-01-17,YEARLY,400,FACEBOOK_ADS
370,75,2019-01-17,2020-01-17,YEARLY,400,FACEBOOK_ADS
371,76,2018-01-16,2018-02-16,MONTHLY,50,FACEBOOK_ADS
372,76,2018-02-16,2018-03-16,MONTHLY,50,FACEBOOK_ADS
373,76,2018-03-16,2018-04-16,MONTHLY,50,FACEBOOK_ADS
374,76,2018-04-16,2018-05-16,MONTHLY,50,FACEBOOK_ADS
375,76,2018-05-16,2018-06-16,MONTHLY,50,FACEBOOK_ADS
376,76,2018-06-16,2018-07-16,MONTHLY,50,FACEBOOK_ADS
377,76,2018-07-16,2018-08-16,MONTHLY,50,FACEBOOK_ADS
378,76,2018-08-16,2018-09-16,MONTHLY,50,FACEBOOK_ADS
379,76,2018-09-16,2018-10-16,MONTHLY,50,FACEBOOK_ADS
380,76,2018-10-16,2018-11-16,MONTHLY,50,FACEBOOK_ADS
381,76,2018-11-16,2018-12-16,MONTHLY,50,FACEBOOK_ADS
382,76,2018-12-16,2019-01-16,MONTHLY,50,FACEBOOK_ADS
383,76,2019-01-16,2019-02-16,MONTHLY,50,FACEBOOK_ADS
384,76,2019-02-16,2019-03-16,MONTHLY,50,FACEBOOK_ADS
385,76,2019-03-16,2019-04-16,MONTHLY,50,FACEBOOK_ADS
386,77,2018-01-16,2018-02-16,MONTHLY,50,FACEBOOK_ADS
387,78,2018-01-05,2019-01-05,YEARLY,400,GOOGLE_AD_WORDS
388,79,2018-02-01,2018-03-01,MONTHLY,50,FACEBOOK_ADS
389,79,2018-03-01,2018-04-01,MONTHLY,50,FACEBOOK_ADS
390,79,2018-04-01,2018-05-01,MONTHLY,50,FACEBOOK_ADS
391,79,2018-05-01,2018-06-01,MONTHLY,50,FACEBOOK_ADS
392,79,2018-06-01,2018-07-01,MONTHLY,50,FACEBOOK_ADS
